cell.instance,immune.label
cell1,B-cells
cell2,T-cells
cell7,T-cells
cell8,T-cells
cell11,T-cells
cell12,T-cells
cell13,T-cells
cell17,T-cells
cell18,T-cells
cell25,T-cells
cell26,T-cells
cell30,T-cells
cell34,B-cells
cell38,T-cells
cell46,T-cells
cell48,T-cells
cell50,T-cells
cell53,T-cells
cell57,T-cells
cell62,T-cells
cell64,T-cells
cell66,T-cells
cell69,T-cells
cell71,T-cells
cell72,T-cells
cell73,T-cells
cell75,T-cells
cell78,T-cells
cell80,B-cells
cell81,T-cells
cell84,T-cells
cell85,T-cells
cell86,T-cells
cell89,T-cells
cell95,T-cells
cell99,T-cells
cell100,B-cells
cell101,T-cells
cell106,T-cells
cell108,T-cells
cell113,T-cells
cell114,T-cells
cell116,T-cells
cell117,Macrophages
cell119,T-cells
cell120,T-cells
cell125,B-cells
cell129,T-cells
cell130,T-cells
cell133,B-cells
cell139,T-cells
cell140,T-cells
cell141,T-cells
cell142,T-cells
cell144,T-cells
cell148,T-cells
cell150,T-cells
cell153,T-cells
cell155,B-cells
cell156,T-cells
cell159,T-cells
cell160,T-cells
cell164,T-cells
cell165,T-cells
cell168,T-cells
cell170,T-cells
cell172,T-cells
cell175,T-cells
cell178,T-cells
cell179,B-cells
cell180,T-cells
cell185,T-cells
cell188,T-cells
cell189,T-cells
cell191,T-cells
cell195,T-cells
cell202,B-cells
cell203,T-cells
cell204,T-cells
cell205,T-cells
cell208,T-cells
cell213,NK
cell214,T-cells
cell216,B-cells
cell218,T-cells
cell219,B-cells
cell222,T-cells
cell223,T-cells
cell224,B-cells
cell226,B-cells
cell227,T-cells
cell228,T-cells
cell233,T-cells
cell234,T-cells
cell235,T-cells
cell241,B-cells
cell242,T-cells
cell244,T-cells
cell245,T-cells
cell246,T-cells
cell251,T-cells
cell252,T-cells
cell253,T-cells
cell258,T-cells
cell261,B-cells
cell262,T-cells
cell264,T-cells
cell267,T-cells
cell269,T-cells
cell274,T-cells
cell275,T-cells
cell277,T-cells
cell278,NK
cell280,T-cells
cell281,T-cells
cell286,T-cells
cell288,Macrophages
cell290,T-cells
cell298,T-cells
cell299,T-cells
cell300,Macrophages
cell302,B-cells
cell304,T-cells
cell306,T-cells
cell307,B-cells
cell311,T-cells
cell312,T-cells
cell313,T-cells
cell316,T-cells
cell320,T-cells
cell321,T-cells
cell322,T-cells
cell323,T-cells
cell325,T-cells
cell326,T-cells
cell327,B-cells
cell331,T-cells
cell336,T-cells
cell341,T-cells
cell345,B-cells
cell347,T-cells
cell351,T-cells
cell359,T-cells
cell364,T-cells
cell367,T-cells
cell368,T-cells
cell378,T-cells
cell379,T-cells
cell387,T-cells
cell389,T-cells
cell394,T-cells
cell395,T-cells
cell396,T-cells
cell399,B-cells
cell400,T-cells
cell401,T-cells
cell403,T-cells
cell406,T-cells
cell407,T-cells
cell408,T-cells
cell409,T-cells
cell415,B-cells
cell418,B-cells
cell423,T-cells
cell435,T-cells
cell438,T-cells
cell440,T-cells
cell441,T-cells
cell442,T-cells
cell443,T-cells
cell446,NK
cell447,T-cells
cell449,T-cells
cell450,T-cells
cell452,B-cells
cell453,T-cells
cell461,T-cells
cell470,T-cells
cell472,T-cells
cell476,T-cells
cell478,T-cells
cell479,T-cells
cell485,T-cells
cell486,T-cells
cell488,T-cells
cell492,T-cells
cell1621,T-cells
cell1623,T-cells
cell1624,T-cells
cell1626,T-cells
cell1629,T-cells
cell1630,T-cells
cell1631,T-cells
cell1634,T-cells
cell1636,T-cells
cell1638,T-cells
cell1639,T-cells
cell1640,NK
cell1641,T-cells
cell1643,T-cells
cell1644,T-cells
cell1645,T-cells
cell1646,T-cells
cell1647,T-cells
cell1649,T-cells
cell1650,T-cells
cell1651,Endo.
cell1652,Macrophages
cell1653,T-cells
cell1655,T-cells
cell1656,T-cells
cell1657,T-cells
cell1659,T-cells
cell1660,T-cells
cell1661,T-cells
cell1663,B-cells
cell1664,T-cells
cell1666,T-cells
cell1667,T-cells
cell1668,T-cells
cell1669,T-cells
cell1671,Endo.
cell1672,T-cells
cell1675,T-cells
cell1677,T-cells
cell1678,T-cells
cell1679,T-cells
cell1682,T-cells
cell1685,B-cells
cell1686,T-cells
cell1687,T-cells
cell1691,B-cells
cell1693,T-cells
cell1694,T-cells
cell1695,T-cells
cell1697,NK
cell1699,T-cells
cell1700,T-cells
cell1701,NK
cell1702,T-cells
cell1705,T-cells
cell1706,T-cells
cell1707,Macrophages
cell1709,T-cells
cell1710,T-cells
cell1712,T-cells
cell1713,T-cells
cell1715,CAFs
cell1716,Endo.
cell1717,T-cells
cell1718,B-cells
cell1719,T-cells
cell1721,T-cells
cell1723,T-cells
cell1724,T-cells
cell1725,T-cells
cell1726,T-cells
cell1727,T-cells
cell1728,T-cells
cell1730,T-cells
cell1734,Macrophages
cell1738,T-cells
cell1739,T-cells
cell1740,T-cells
cell1741,T-cells
cell1742,T-cells
cell1743,T-cells
cell1745,B-cells
cell1746,T-cells
cell1747,T-cells
cell1748,T-cells
cell1749,T-cells
cell1750,T-cells
cell1751,Endo.
cell1755,T-cells
cell1756,T-cells
cell1757,T-cells
cell1758,NK
cell1760,T-cells
cell1762,T-cells
cell1763,B-cells
cell1764,Endo.
cell1765,T-cells
cell1767,T-cells
cell1768,B-cells
cell1770,T-cells
cell1771,T-cells
cell1772,T-cells
cell1773,T-cells
cell1774,T-cells
cell1776,Endo.
cell1781,T-cells
cell1783,T-cells
cell1784,T-cells
cell1785,T-cells
cell1787,T-cells
cell1788,T-cells
cell1789,T-cells
cell1790,T-cells
cell1792,T-cells
cell1793,T-cells
cell1794,Macrophages
cell1797,T-cells
cell1799,T-cells
cell1800,B-cells
cell1804,T-cells
cell1806,T-cells
cell1808,T-cells
cell1809,T-cells
cell1812,CAFs
cell1814,T-cells
cell1815,T-cells
cell1816,T-cells
cell1817,T-cells
cell1818,NK
cell1819,NK
cell1820,T-cells
cell1822,Endo.
cell1827,T-cells
cell1828,T-cells
cell1830,T-cells
cell1832,Macrophages
cell1833,T-cells
cell1834,T-cells
cell1835,T-cells
cell1836,T-cells
cell1838,T-cells
cell1840,NK
cell1841,T-cells
cell1842,T-cells
cell1843,T-cells
cell1846,T-cells
cell1848,T-cells
cell1849,T-cells
cell1850,T-cells
cell1851,NK
cell1855,B-cells
cell1856,Macrophages
cell1858,Macrophages
cell1859,T-cells
cell1863,T-cells
cell1864,T-cells
cell1865,T-cells
cell1866,B-cells
cell1867,T-cells
cell1868,T-cells
cell1869,T-cells
cell1870,T-cells
cell1871,T-cells
cell1873,T-cells
cell1875,T-cells
cell1876,T-cells
cell1877,T-cells
cell1878,T-cells
cell1880,NK
cell1881,T-cells
cell1882,CAFs
cell1883,T-cells
cell1885,T-cells
cell1886,NK
cell1889,T-cells
cell1890,T-cells
cell1892,T-cells
cell1893,T-cells
cell1894,T-cells
cell1898,B-cells
cell1899,T-cells
cell1900,B-cells
cell1901,T-cells
cell1903,T-cells
cell1904,Macrophages
cell1905,B-cells
cell1906,T-cells
cell1907,T-cells
cell1908,T-cells
cell1909,T-cells
cell1911,Macrophages
cell1913,T-cells
cell1914,T-cells
cell1915,CAFs
cell1917,T-cells
cell1919,B-cells
cell1922,B-cells
cell1923,B-cells
cell1924,T-cells
cell1925,T-cells
cell1927,T-cells
cell1929,T-cells
cell1931,B-cells
cell1932,T-cells
cell1933,T-cells
cell1934,B-cells
cell1935,T-cells
cell1936,T-cells
cell1937,T-cells
cell1938,T-cells
cell1940,T-cells
cell1941,T-cells
cell1943,T-cells
cell1944,T-cells
cell1946,B-cells
cell1947,B-cells
cell1948,T-cells
cell1950,T-cells
cell1952,T-cells
cell1953,T-cells
cell1954,T-cells
cell1955,T-cells
cell1956,Macrophages
cell1957,T-cells
cell1960,T-cells
cell1961,T-cells
cell1962,T-cells
cell1963,T-cells
cell1965,T-cells
cell1966,T-cells
cell1967,Endo.
cell1968,T-cells
cell1972,Macrophages
cell1974,T-cells
cell1976,T-cells
cell1977,T-cells
cell1979,T-cells
cell1981,T-cells
cell1982,T-cells
cell1983,T-cells
cell1984,T-cells
cell1985,T-cells
cell1987,NK
cell1988,T-cells
cell1991,T-cells
cell1992,T-cells
cell1993,T-cells
cell1996,T-cells
cell1997,T-cells
cell1998,T-cells
cell1999,NK
cell2001,T-cells
cell2002,T-cells
cell2003,B-cells
cell2004,T-cells
cell2006,T-cells
cell2008,T-cells
cell2010,T-cells
cell2011,T-cells
cell2013,T-cells
cell2014,T-cells
cell2015,B-cells
cell2016,T-cells
cell2017,T-cells
cell2018,B-cells
cell2020,T-cells
cell2021,T-cells
cell2022,T-cells
cell2023,Macrophages
cell2026,T-cells
cell2027,T-cells
cell2030,T-cells
cell2031,T-cells
cell2033,T-cells
cell2034,B-cells
cell2035,T-cells
cell2037,T-cells
cell2038,T-cells
cell2039,T-cells
cell2040,T-cells
cell2041,T-cells
cell2042,T-cells
cell2045,B-cells
cell2046,T-cells
cell2049,T-cells
cell2050,T-cells
cell2051,T-cells
cell2053,T-cells
cell2054,Macrophages
cell2055,T-cells
cell2056,Endo.
cell2057,T-cells
cell2058,B-cells
cell2060,T-cells
cell2061,T-cells
cell2062,T-cells
cell2063,T-cells
cell2064,T-cells
cell2065,T-cells
cell2066,T-cells
cell2067,T-cells
cell2068,T-cells
cell2072,T-cells
cell2073,T-cells
cell2075,T-cells
cell2076,T-cells
cell2077,B-cells
cell2081,T-cells
cell2082,T-cells
cell2084,T-cells
cell2085,T-cells
cell2086,Macrophages
cell2088,Endo.
cell2089,T-cells
cell2090,T-cells
cell2091,T-cells
cell2093,T-cells
cell2096,Macrophages
cell2097,T-cells
cell2099,T-cells
cell2102,T-cells
cell2104,T-cells
cell2105,T-cells
cell2107,T-cells
cell2110,NK
cell2111,T-cells
cell2112,T-cells
cell2113,T-cells
cell2114,T-cells
cell2115,T-cells
cell2116,T-cells
cell2118,Macrophages
cell2120,T-cells
cell2121,T-cells
cell2123,T-cells
cell2124,T-cells
cell2126,T-cells
cell2516,B-cells
cell2529,T-cells
cell2544,T-cells
cell2545,T-cells
cell2552,T-cells
cell2558,T-cells
cell2572,CAFs
cell2604,T-cells
cell2609,T-cells
cell2627,Macrophages
cell2641,T-cells
cell2653,B-cells
cell2674,T-cells
cell2679,Macrophages
cell2685,Endo.
cell2686,T-cells
cell2695,T-cells
cell2707,T-cells
cell2712,T-cells
cell2714,T-cells
cell2725,B-cells
cell2726,T-cells
cell2741,B-cells
cell2742,T-cells
cell2743,B-cells
cell2744,NK
cell2745,T-cells
cell2746,T-cells
cell2747,B-cells
cell2748,T-cells
cell2749,T-cells
cell2750,T-cells
cell2752,T-cells
cell2753,T-cells
cell2754,T-cells
cell2755,B-cells
cell2757,T-cells
cell2758,B-cells
cell2760,T-cells
cell2761,T-cells
cell2762,Macrophages
cell2763,T-cells
cell2764,T-cells
cell2765,B-cells
cell2766,T-cells
cell2767,T-cells
cell2768,B-cells
cell2769,T-cells
cell2770,B-cells
cell2772,T-cells
cell2774,T-cells
cell2775,T-cells
cell2776,T-cells
cell2777,NK
cell2778,T-cells
cell2779,B-cells
cell2780,B-cells
cell2781,B-cells
cell2782,B-cells
cell2783,T-cells
cell2784,T-cells
cell2785,B-cells
cell2786,T-cells
cell2787,B-cells
cell2788,B-cells
cell2789,B-cells
cell2790,T-cells
cell2791,B-cells
cell2792,T-cells
cell2793,T-cells
cell2794,NK
cell2795,B-cells
cell2796,T-cells
cell2797,T-cells
cell2799,T-cells
cell2800,T-cells
cell2801,NK
cell2802,T-cells
cell2803,B-cells
cell2804,T-cells
cell2805,T-cells
cell2806,B-cells
cell2807,B-cells
cell2808,B-cells
cell2809,Macrophages
cell2810,T-cells
cell2811,NK
cell2812,T-cells
cell2813,T-cells
cell2814,T-cells
cell2815,T-cells
cell2816,T-cells
cell2819,T-cells
cell2820,T-cells
cell2821,T-cells
cell2823,T-cells
cell2824,B-cells
cell2826,B-cells
cell2827,T-cells
cell2828,B-cells
cell2829,B-cells
cell2830,B-cells
cell2832,B-cells
cell2833,B-cells
cell2834,B-cells
cell2835,B-cells
cell2838,T-cells
cell2839,B-cells
cell2842,T-cells
cell2845,B-cells
cell2846,B-cells
cell2847,NK
cell2849,T-cells
cell2850,NK
cell2851,T-cells
cell2852,B-cells
cell2854,B-cells
cell2855,B-cells
cell2856,NK
cell2860,T-cells
cell2865,T-cells
cell2866,T-cells
cell2867,T-cells
cell2871,B-cells
cell2872,B-cells
cell2873,B-cells
cell2876,T-cells
cell2877,B-cells
cell2878,B-cells
cell2881,T-cells
cell2884,B-cells
cell2886,B-cells
cell2889,T-cells
cell2890,T-cells
cell2891,T-cells
cell2892,B-cells
cell2894,T-cells
cell2896,B-cells
cell2898,T-cells
cell2900,B-cells
cell2902,B-cells
cell2904,T-cells
cell2906,T-cells
cell2908,T-cells
cell2909,B-cells
cell2910,B-cells
cell2912,T-cells
cell2913,B-cells
cell2914,B-cells
cell2916,B-cells
cell2917,B-cells
cell2918,B-cells
cell2919,T-cells
cell2920,T-cells
cell2921,B-cells
cell2922,B-cells
cell2923,T-cells
cell2924,B-cells
cell2925,B-cells
cell2927,B-cells
cell2928,B-cells
cell2930,B-cells
cell2931,T-cells
cell2933,NK
cell2934,B-cells
cell2935,T-cells
cell2936,T-cells
cell2938,T-cells
cell2939,T-cells
cell2940,B-cells
cell2942,T-cells
cell2943,B-cells
cell2948,Macrophages
cell2949,NK
cell2950,B-cells
cell2951,B-cells
cell2952,B-cells
cell2954,T-cells
cell2956,T-cells
cell2960,B-cells
cell2961,B-cells
cell2963,T-cells
cell2968,T-cells
cell2969,T-cells
cell2970,B-cells
cell2971,B-cells
cell2973,B-cells
cell2974,B-cells
cell2975,B-cells
cell2977,T-cells
cell2978,T-cells
cell2980,B-cells
cell2981,T-cells
cell2982,T-cells
cell2985,T-cells
cell2990,B-cells
cell2992,T-cells
cell2998,B-cells
cell2999,B-cells
cell3001,B-cells
cell3003,B-cells
cell3004,B-cells
cell3005,T-cells
cell3006,Macrophages
cell3008,B-cells
cell3009,B-cells
cell3010,NK
cell3011,T-cells
cell3012,NK
cell3013,T-cells
cell3014,B-cells
cell3015,T-cells
cell3022,B-cells
cell3027,T-cells
cell3028,T-cells
cell3031,B-cells
cell3033,B-cells
cell3034,T-cells
cell3035,B-cells
cell3036,B-cells
cell3037,T-cells
cell3038,B-cells
cell3039,B-cells
cell3040,T-cells
cell3041,T-cells
cell3043,T-cells
cell3048,B-cells
cell3049,T-cells
cell3050,B-cells
cell3051,T-cells
cell3052,T-cells
cell3053,B-cells
cell3054,B-cells
cell3056,B-cells
cell3058,B-cells
cell3059,B-cells
cell3060,T-cells
cell3061,Macrophages
cell3062,T-cells
cell3067,T-cells
cell3068,T-cells
cell3071,T-cells
cell3073,B-cells
cell3076,T-cells
cell3079,B-cells
cell3080,T-cells
cell3082,B-cells
cell3083,T-cells
cell3085,B-cells
cell3086,T-cells
cell3087,NK
cell3088,B-cells
cell3089,T-cells
cell3092,B-cells
cell3094,B-cells
cell3095,Macrophages
cell3096,B-cells
cell3097,T-cells
cell3098,B-cells
cell3099,B-cells
cell3103,T-cells
cell3104,B-cells
cell3108,B-cells
cell3111,NK
cell3112,B-cells
cell3113,B-cells
cell3114,T-cells
cell3115,B-cells
cell3116,T-cells
cell3117,T-cells
cell3118,B-cells
cell3119,T-cells
cell3124,B-cells
cell3125,B-cells
cell3757,T-cells
cell3761,B-cells
cell3762,CAFs
cell3766,T-cells
cell3768,B-cells
cell3771,T-cells
cell3773,T-cells
cell3774,T-cells
cell3775,CAFs
cell3777,Endo.
cell3779,T-cells
cell3780,T-cells
cell3782,T-cells
cell3783,Endo.
cell3784,T-cells
cell3786,T-cells
cell3788,T-cells
cell3790,T-cells
cell3792,T-cells
cell3793,T-cells
cell3796,T-cells
cell3797,T-cells
cell3798,Endo.
cell3799,T-cells
cell3801,Endo.
cell3803,T-cells
cell3804,T-cells
cell3805,B-cells
cell3807,T-cells
cell3809,B-cells
cell3810,B-cells
cell3811,B-cells
cell3814,T-cells
cell3816,T-cells
cell3817,B-cells
cell3819,B-cells
cell3820,B-cells
cell3821,T-cells
cell3822,CAFs
cell3824,T-cells
cell3827,B-cells
cell3828,T-cells
cell3829,T-cells
cell3830,T-cells
cell3832,T-cells
cell3836,T-cells
cell3837,T-cells
cell3838,B-cells
cell3840,Endo.
cell3843,T-cells
cell3844,CAFs
cell3845,T-cells
cell3846,T-cells
cell3850,T-cells
cell3851,T-cells
cell3852,T-cells
cell3853,T-cells
cell3855,B-cells
cell3858,T-cells
cell3863,T-cells
cell3864,T-cells
cell3865,Endo.
cell3866,T-cells
cell3867,T-cells
cell3868,B-cells
cell3869,Macrophages
cell3870,B-cells
cell3871,T-cells
cell3874,T-cells
cell3875,T-cells
cell3876,CAFs
cell3878,T-cells
cell3880,B-cells
cell3883,T-cells
cell3884,CAFs
cell3886,Endo.
cell3887,T-cells
cell3888,T-cells
cell3890,T-cells
cell3891,B-cells
cell3897,T-cells
cell3899,CAFs
cell3902,T-cells
cell3907,T-cells
cell3908,B-cells
cell3909,T-cells
cell3910,T-cells
cell3912,T-cells
cell3914,T-cells
cell3915,T-cells
cell3916,B-cells
cell3917,B-cells
cell3918,T-cells
cell3919,T-cells
cell3920,CAFs
cell3921,Endo.
cell3924,T-cells
cell3925,B-cells
cell3926,T-cells
cell3927,T-cells
cell3932,T-cells
cell3934,T-cells
cell3935,T-cells
cell3936,T-cells
cell3937,B-cells
cell3939,T-cells
cell3940,B-cells
cell3943,T-cells
cell3947,B-cells
cell3948,T-cells
cell3949,B-cells
cell3950,T-cells
cell3951,T-cells
cell3952,T-cells
cell3954,T-cells
cell3957,T-cells
cell3958,B-cells
cell3959,B-cells
cell3960,T-cells
cell3962,B-cells
cell3968,T-cells
cell3969,CAFs
cell3970,T-cells
cell3971,T-cells
cell3972,T-cells
cell3973,B-cells
cell3974,B-cells
cell3975,T-cells
cell3976,B-cells
cell3978,B-cells
cell3979,T-cells
cell3981,T-cells
cell3983,T-cells
cell3985,CAFs
cell3987,T-cells
cell3989,T-cells
cell3990,T-cells
cell3995,B-cells
cell3996,T-cells
cell3998,B-cells
cell4000,Endo.
cell4004,T-cells
cell4010,T-cells
cell4018,T-cells
cell4021,T-cells
cell4029,B-cells
cell4030,B-cells
cell4031,T-cells
cell4032,T-cells
cell4033,T-cells
cell4035,T-cells
cell4040,T-cells
cell4041,B-cells
cell4053,B-cells
cell4055,B-cells
cell4056,T-cells
cell4058,B-cells
cell4063,T-cells
cell4065,T-cells
cell4066,B-cells
cell4068,B-cells
cell4069,T-cells
cell4071,T-cells
cell4073,T-cells
cell4082,T-cells
cell4088,B-cells
cell4091,B-cells
cell4092,T-cells
cell4094,B-cells
cell4095,T-cells
cell4099,T-cells
cell4101,B-cells
cell4104,T-cells
cell4106,T-cells
cell4109,T-cells
cell4112,B-cells
cell4124,T-cells
cell4128,T-cells
cell4131,T-cells
cell4137,B-cells
cell4140,T-cells
cell4141,B-cells
cell4143,B-cells
cell4148,B-cells
cell4149,B-cells
cell4154,B-cells
cell4155,B-cells
cell4159,T-cells
cell4165,B-cells
cell4166,T-cells
cell4175,T-cells
cell4179,B-cells
cell4180,T-cells
cell4187,T-cells
cell4194,T-cells
cell4197,T-cells
cell4207,NK
cell4208,B-cells
cell4210,B-cells
cell4213,T-cells
cell4215,B-cells
cell4224,B-cells
cell4226,B-cells
cell4228,T-cells
cell4234,Endo.
cell4237,Macrophages
cell4240,CAFs
cell4241,Macrophages
cell4243,CAFs
cell4245,B-cells
cell4249,Endo.
cell4250,Macrophages
cell4251,NK
cell4253,T-cells
cell4255,T-cells
cell4256,T-cells
cell4258,NK
cell4259,Macrophages
cell4260,NK
cell4261,Endo.
cell4262,CAFs
cell4263,Endo.
cell4264,T-cells
cell4265,Macrophages
cell4266,Macrophages
cell4268,Endo.
cell4269,Macrophages
cell4271,Endo.
cell4272,T-cells
cell4273,Macrophages
cell4275,Macrophages
cell4276,CAFs
cell4277,Macrophages
cell4279,Macrophages
cell4280,Endo.
cell4282,Endo.
cell4287,T-cells
cell4288,Endo.
cell4289,B-cells
cell4291,Macrophages
cell4293,Macrophages
cell4298,T-cells
cell4304,T-cells
cell4305,Endo.
cell4306,Macrophages
cell4311,B-cells
cell4312,CAFs
cell4313,T-cells
cell4314,T-cells
cell4315,Macrophages
cell4322,T-cells
cell4324,B-cells
cell4326,Macrophages
cell4327,Macrophages
cell4330,Macrophages
